Event,Px,Py,Pz,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
1878,0.0,0.0,-1.0,662.0,399.106,0.0,0.0,0.0,199.574,0,0.0,11.0372,63.32,18143
1879,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1880,0.0,0.0,-1.0,662.0,605.344,0.0,0.0,0.0,45.7802,0,0.0,12.2771,10.876,17439
1881,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1882,0.0,0.0,-1.0,662.0,394.648,0.0,0.0,0.0,204.032,0,0.0,12.9264,63.32,17573
1883,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1884,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1885,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1886,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1887,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1888,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1889,0.0,0.0,-1.0,310.489,208.433,0.0,0.0,0.0,102.056,0,0.0,5.71237,0.0,8338
1890,0.0,0.0,-1.0,52.4083,0.0,0.0,0.0,0.0,52.4083,0,0.0,1.01978,0.0,1397
1891,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1892,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1893,0.0,0.0,-1.0,662.0,505.531,0.0,0.0,0.0,93.1489,0,0.0,11.9821,63.32,17427
1894,0.0,0.0,-1.0,662.0,496.62,0.0,0.0,0.0,102.06,0,0.0,9.87852,63.32,18268
1895,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1896,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1897,0.0,0.0,-1.0,662.0,497.1,0.0,0.0,0.0,101.58,0,0.0,12.4658,63.32,17402
1898,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1899,0.0,0.0,-1.0,662.0,439.562,0.0,0.0,0.0,159.118,0,0.0,12.5232,63.32,17631
1900,0.0,0.0,-1.0,281.402,187.209,0.0,0.0,0.0,94.1928,0,0.0,5.09825,0.0,7573
1901,0.0,0.0,-1.0,282.448,236.585,0.0,0.0,0.0,45.8631,0,0.0,5.25964,0.0,7448
1902,0.0,0.0,-1.0,15.2197,0.0,0.0,0.0,0.0,15.2197,0,0.0,0.280951,0.0,375
1903,0.0,0.0,-1.0,662.0,500.531,0.0,0.0,0.0,98.1492,0,0.0,12.5385,63.32,17362
1904,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1905,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1906,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1907,0.0,0.0,-1.0,662.0,406.909,0.0,0.0,0.0,191.771,0,0.0,12.1843,63.32,17573
1908,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
